anion,T,category,beta,beta_se
fsi,298,x11,1.5801788765384528,0.03594856254514173
fsi,353,x11,1.597506353776471,0.04039891990614529
fsi,373,x11,1.61831828120642,0.031154314744695953
fsi,423,x11,1.6039859178096671,0.03331033138755469
fsi,298,x12,0.814974109711941,0.12158777572669638
fsi,353,x12,0.9854729272294277,0.13172921007294297
fsi,373,x12,0.9859338003582379,0.12264755103700267
fsi,423,x12,0.8814662389901524,0.11998063083876864
fsi,298,x21,0.8297432451891176,0.1270783913234933
fsi,353,x21,0.7855552567886306,0.12095301059476052
fsi,373,x21,1.0021831310732219,0.12683087510535881
fsi,423,x21,1.0686387822895973,0.12192265564106666
fsi,298,x22,1.2210893940744034,0.08157146931997043
fsi,353,x22,1.1375783488234144,0.07950026738896207
fsi,373,x22,1.2439691044454084,0.08852572218579843
fsi,423,x22,1.216603056915437,0.0886362904242403
fsi,298,x11_loyal,2.1673794791284178,0.06661188294867063
fsi,353,x11_loyal,2.321038043226653,0.08605415782823177
fsi,373,x11_loyal,2.379917499088247,0.08562783637540779
fsi,423,x11_loyal,2.410960907575512,0.09049929717824695
fsi,298,x22_loyal,1.1592846958751941,0.10590393384177373
fsi,353,x22_loyal,1.3328573886596498,0.11097222409234002
fsi,373,x22_loyal,1.471624837821833,0.09922441463029673
fsi,423,x22_loyal,1.5757385927878498,0.10983640811004976
tfsi,298,x11,1.444688411718403,0.03784755090838681
tfsi,353,x11,1.5026152013457852,0.03532146222391879
tfsi,373,x11,1.5997502955505423,0.03150744974080753
tfsi,423,x11,1.6372910133765157,0.03327799606890789
tfsi,298,x12,0.49747992408188174,0.08879659799191764
tfsi,353,x12,0.6971691523232748,0.1541057264129902
tfsi,373,x12,0.6159359342365901,0.13548891289731838
tfsi,423,x12,0.6956622423036245,0.1306902592873529
tfsi,298,x21,0.5243646529421029,0.11918504427244739
tfsi,353,x21,0.6718542083729808,0.16072115038078755
tfsi,373,x21,0.6846070919138209,0.1306473212448185
tfsi,423,x21,0.743849136967919,0.13393120660875224
tfsi,298,x22,0.7750362409355571,0.1221726666128404
tfsi,353,x22,0.6491980048671921,0.07820708542301091
tfsi,373,x22,0.9589315277839999,0.11728826614304895
tfsi,423,x22,0.8843700973714118,0.08695137000124181
tfsi,298,x11_loyal,1.5011370940566624,0.06268572441235275
tfsi,353,x11_loyal,1.70538921572491,0.06746754707783341
tfsi,373,x11_loyal,1.82560112025972,0.0708851493543937
tfsi,423,x11_loyal,2.0385334452341772,0.07656733995848582
tfsi,298,x22_loyal,0.7305654370991848,0.1495462868057841
tfsi,353,x22_loyal,0.9609580110144107,0.1481033122567969
tfsi,373,x22_loyal,0.9602876456715871,0.12190823155429586
tfsi,423,x22_loyal,0.8735164382656189,0.09458531402619538
beti,298,x11,1.38856328242896,0.07852447050746522
beti,353,x11,1.6593523433584603,0.0837211945402415
beti,373,x11,1.63068350473266,0.06343481066367046
beti,423,x11,1.7399706700717665,0.07013035569469174
beti,298,x12,0.25948667996359825,0.1263279908239951
beti,353,x12,0.5522253194601104,0.10991073643123192
beti,373,x12,0.2817375194405585,0.08518072760373745
beti,423,x12,0.37232335063376987,0.09601165828855675
beti,298,x21,0.28228395999110695,0.09358982770243657
beti,353,x21,0.5549401579107652,0.15283818505305355
beti,373,x21,0.5582109085241114,0.13756254223500944
beti,423,x21,0.5596872728159236,0.13376044904265805
beti,298,x22,0.94199890402598,0.1018541637777648
beti,353,x22,1.1002671611406594,0.09097679455953245
beti,373,x22,0.9928068548634734,0.0798925425426245
beti,423,x22,1.0076152518747128,0.07930751802437488
beti,298,x11_loyal,1.38856328242896,0.07852447050746522
beti,353,x11_loyal,1.6401078000979867,0.09713262341005531
beti,373,x11_loyal,1.8449117369475978,0.09953458872313956
beti,423,x11_loyal,2.01940353387278,0.1241499970942416
beti,298,x22_loyal,0.871964897846851,0.12334723274219397
beti,353,x22_loyal,0.7545350628202115,0.09970827113986452
beti,373,x22_loyal,1.0076702682647585,0.11999734562518186
beti,423,x22_loyal,1.0981502591443855,0.12985188547021598
fsi,298,x11,1.5801788765384528,0.03594856254514173
fsi,353,x11,1.597506353776471,0.04039891990614529
fsi,373,x11,1.61831828120642,0.031154314744695953
fsi,423,x11,1.6039859178096671,0.03331033138755469
fsi,298,x12,0.814974109711941,0.12158777572669638
fsi,353,x12,0.9854729272294277,0.13172921007294297
fsi,373,x12,0.9859338003582379,0.12264755103700267
fsi,423,x12,0.8814662389901524,0.11998063083876864
fsi,298,x21,0.8297432451891176,0.1270783913234933
fsi,353,x21,0.7855552567886306,0.12095301059476052
fsi,373,x21,1.0021831310732219,0.12683087510535881
fsi,423,x21,1.0686387822895973,0.12192265564106666
fsi,298,x22,1.2210893940744034,0.08157146931997043
fsi,353,x22,1.1375783488234144,0.07950026738896207
fsi,373,x22,1.2439691044454084,0.08852572218579843
fsi,423,x22,1.216603056915437,0.0886362904242403
fsi,298,x11_loyal,2.1673794791284178,0.06661188294867063
fsi,353,x11_loyal,2.321038043226653,0.08605415782823177
fsi,373,x11_loyal,2.379917499088247,0.08562783637540779
fsi,423,x11_loyal,2.410960907575512,0.09049929717824695
fsi,298,x22_loyal,1.1592846958751941,0.10590393384177373
fsi,353,x22_loyal,1.3328573886596498,0.11097222409234002
fsi,373,x22_loyal,1.471624837821833,0.09922441463029673
fsi,423,x22_loyal,1.5757385927878498,0.10983640811004976
tfsi,298,x11,1.444688411718403,0.03784755090838681
tfsi,353,x11,1.5026152013457852,0.03532146222391879
tfsi,373,x11,1.5997502955505423,0.03150744974080753
tfsi,423,x11,1.6372910133765157,0.03327799606890789
tfsi,298,x12,0.49747992408188174,0.08879659799191764
tfsi,353,x12,0.6971691523232748,0.1541057264129902
tfsi,373,x12,0.6159359342365901,0.13548891289731838
tfsi,423,x12,0.6956622423036245,0.1306902592873529
tfsi,298,x21,0.5243646529421029,0.11918504427244739
tfsi,353,x21,0.6718542083729808,0.16072115038078755
tfsi,373,x21,0.6846070919138209,0.1306473212448185
tfsi,423,x21,0.743849136967919,0.13393120660875224
tfsi,298,x22,0.7750362409355571,0.1221726666128404
tfsi,353,x22,0.6491980048671921,0.07820708542301091
tfsi,373,x22,0.9589315277839999,0.11728826614304895
tfsi,423,x22,0.8843700973714118,0.08695137000124181
tfsi,298,x11_loyal,1.5011370940566624,0.06268572441235275
tfsi,353,x11_loyal,1.70538921572491,0.06746754707783341
tfsi,373,x11_loyal,1.82560112025972,0.0708851493543937
tfsi,423,x11_loyal,2.0385334452341772,0.07656733995848582
tfsi,298,x22_loyal,0.7305654370991848,0.1495462868057841
tfsi,353,x22_loyal,0.9609580110144107,0.1481033122567969
tfsi,373,x22_loyal,0.9602876456715871,0.12190823155429586
tfsi,423,x22_loyal,0.8735164382656189,0.09458531402619538
beti,298,x11,1.38856328242896,0.07852447050746522
beti,353,x11,1.6593523433584603,0.0837211945402415
beti,373,x11,1.63068350473266,0.06343481066367046
beti,423,x11,1.7399706700717665,0.07013035569469174
beti,298,x12,0.25948667996359825,0.1263279908239951
beti,353,x12,0.5522253194601104,0.10991073643123192
beti,373,x12,0.2817375194405585,0.08518072760373745
beti,423,x12,0.37232335063376987,0.09601165828855675
beti,298,x21,0.28228395999110695,0.09358982770243657
beti,353,x21,0.5549401579107652,0.15283818505305355
beti,373,x21,0.5582109085241114,0.13756254223500944
beti,423,x21,0.5596872728159236,0.13376044904265805
beti,298,x22,0.94199890402598,0.1018541637777648
beti,353,x22,1.1002671611406594,0.09097679455953245
beti,373,x22,0.9928068548634734,0.0798925425426245
beti,423,x22,1.0076152518747128,0.07930751802437488
beti,298,x11_loyal,1.38856328242896,0.07852447050746522
beti,353,x11_loyal,1.6401078000979867,0.09713262341005531
beti,373,x11_loyal,1.8449117369475978,0.09953458872313956
beti,423,x11_loyal,2.01940353387278,0.1241499970942416
beti,298,x22_loyal,0.871964897846851,0.12334723274219397
beti,353,x22_loyal,0.7545350628202115,0.09970827113986452
beti,373,x22_loyal,1.0076702682647585,0.11999734562518186
beti,423,x22_loyal,1.0981502591443855,0.12985188547021598
fsi,298,x11,1.5801788765384528,0.03594856254514173
fsi,353,x11,1.597506353776471,0.04039891990614529
fsi,373,x11,1.61831828120642,0.031154314744695953
fsi,423,x11,1.6039859178096671,0.03331033138755469
fsi,298,x12,0.814974109711941,0.12158777572669638
fsi,353,x12,0.9854729272294277,0.13172921007294297
fsi,373,x12,0.9859338003582379,0.12264755103700267
fsi,423,x12,0.8814662389901524,0.11998063083876864
fsi,298,x21,0.8297432451891176,0.1270783913234933
fsi,353,x21,0.7855552567886306,0.12095301059476052
fsi,373,x21,1.0021831310732219,0.12683087510535881
fsi,423,x21,1.0686387822895973,0.12192265564106666
fsi,298,x22,1.2210893940744034,0.08157146931997043
fsi,353,x22,1.1375783488234144,0.07950026738896207
fsi,373,x22,1.2439691044454084,0.08852572218579843
fsi,423,x22,1.216603056915437,0.0886362904242403
fsi,298,x11_loyal,2.1673794791284178,0.06661188294867063
fsi,353,x11_loyal,2.321038043226653,0.08605415782823177
fsi,373,x11_loyal,2.379917499088247,0.08562783637540779
fsi,423,x11_loyal,2.410960907575512,0.09049929717824695
fsi,298,x22_loyal,1.1592846958751941,0.10590393384177373
fsi,353,x22_loyal,1.3328573886596498,0.11097222409234002
fsi,373,x22_loyal,1.471624837821833,0.09922441463029673
fsi,423,x22_loyal,1.5757385927878498,0.10983640811004976
tfsi,298,x11,1.444688411718403,0.03784755090838681
tfsi,353,x11,1.5026152013457852,0.03532146222391879
tfsi,373,x11,1.5997502955505423,0.03150744974080753
tfsi,423,x11,1.6372910133765157,0.03327799606890789
tfsi,298,x12,0.49747992408188174,0.08879659799191764
tfsi,353,x12,0.6971691523232748,0.1541057264129902
tfsi,373,x12,0.6159359342365901,0.13548891289731838
tfsi,423,x12,0.6956622423036245,0.1306902592873529
tfsi,298,x21,0.5243646529421029,0.11918504427244739
tfsi,353,x21,0.6718542083729808,0.16072115038078755
tfsi,373,x21,0.6846070919138209,0.1306473212448185
tfsi,423,x21,0.743849136967919,0.13393120660875224
tfsi,298,x22,0.7750362409355571,0.1221726666128404
tfsi,353,x22,0.6491980048671921,0.07820708542301091
tfsi,373,x22,0.9589315277839999,0.11728826614304895
tfsi,423,x22,0.8843700973714118,0.08695137000124181
tfsi,298,x11_loyal,1.5011370940566624,0.06268572441235275
tfsi,353,x11_loyal,1.70538921572491,0.06746754707783341
tfsi,373,x11_loyal,1.82560112025972,0.0708851493543937
tfsi,423,x11_loyal,2.0385334452341772,0.07656733995848582
tfsi,298,x22_loyal,0.7305654370991848,0.1495462868057841
tfsi,353,x22_loyal,0.9609580110144107,0.1481033122567969
tfsi,373,x22_loyal,0.9602876456715871,0.12190823155429586
tfsi,423,x22_loyal,0.8735164382656189,0.09458531402619538
beti,298,x11,1.38856328242896,0.07852447050746522
beti,353,x11,1.6593523433584603,0.0837211945402415
beti,373,x11,1.63068350473266,0.06343481066367046
beti,423,x11,1.7399706700717665,0.07013035569469174
beti,298,x12,0.25948667996359825,0.1263279908239951
beti,353,x12,0.5522253194601104,0.10991073643123192
beti,373,x12,0.2817375194405585,0.08518072760373745
beti,423,x12,0.37232335063376987,0.09601165828855675
beti,298,x21,0.28228395999110695,0.09358982770243657
beti,353,x21,0.5549401579107652,0.15283818505305355
beti,373,x21,0.5582109085241114,0.13756254223500944
beti,423,x21,0.5596872728159236,0.13376044904265805
beti,298,x22,0.94199890402598,0.1018541637777648
beti,353,x22,1.1002671611406594,0.09097679455953245
beti,373,x22,0.9928068548634734,0.0798925425426245
beti,423,x22,1.0076152518747128,0.07930751802437488
beti,298,x11_loyal,1.38856328242896,0.07852447050746522
beti,353,x11_loyal,1.6401078000979867,0.09713262341005531
beti,373,x11_loyal,1.8449117369475978,0.09953458872313956
beti,423,x11_loyal,2.01940353387278,0.1241499970942416
beti,298,x22_loyal,0.871964897846851,0.12334723274219397
beti,353,x22_loyal,0.7545350628202115,0.09970827113986452
beti,373,x22_loyal,1.0076702682647585,0.11999734562518186
beti,423,x22_loyal,1.0981502591443855,0.12985188547021598
